165,"Nick Young, SG",Los Angeles Lakers,"$5,443,918 "
166,"Jabari Parker, PF",Milwaukee Bucks,"$5,374,320 "
167,"D'Angelo Russell, PG",Los Angeles Lakers,"$5,332,800 "
168,"Cody Zeller, C",Charlotte Hornets,"$5,318,313 "
169,"PJ Tucker, SF",Toronto Raptors,"$5,300,000 "
170,"Brandon Ingram, SF",Los Angeles Lakers,"$5,281,680 "
RK,NAME,TEAM,SALARY
171,"Kyle Korver, SG",Cleveland Cavaliers,"$5,239,437 "
172,"Darren Collison, PG",Sacramento Kings,"$5,229,454 "
173,"Langston Galloway, SG",Sacramento Kings,"$5,200,000 "
174,"Brandon Jennings, PG",Washington Wizards,"$5,000,000 "
175,"Jason Smith, PF",Washington Wizards,"$5,000,000 "
176,"C.J. Watson, PG",Orlando Magic,"$5,000,000 "
177,"Jonas Jerebko, PF",Boston Celtics,"$5,000,000 "
178,"Roy Hibbert, C",Charlotte Hornets,"$5,000,000 "
179,"Kyle Singler, SF",Oklahoma City Thunder,"$4,837,500 "
180,"Mike Dunleavy, SG",Cleveland Cavaliers,"$4,837,500 "
RK,NAME,TEAM,SALARY
181,"Joel Embiid, C",Philadelphia 76ers,"$4,826,160 "
182,"Alex Len, C",Phoenix Suns,"$4,823,621 "
183,"Jahlil Okafor, C",Philadelphia 76ers,"$4,788,840 "
184,"Jaylen Brown, SG",Boston Celtics,"$4,743,000 "
185,"Alexis Ajinca, C",New Orleans Pelicans,"$4,638,203 "
186,"Marcus Morris, PF",Detroit Pistons,"$4,625,000 "
187,"CJ Miles, SF",Indiana Pacers,"$4,583,450 "
188,"Jameer Nelson, PG",Denver Nuggets,"$4,540,525 "
189,"Nerlens Noel, C",Philadelphia 76ers,"$4,384,490 "
190,"Aaron Gordon, PF",Orlando Magic,"$4,351,320 "
RK,NAME,TEAM,SALARY
191,"Greivis Vasquez, PG",Brooklyn Nets,"$4,347,826 "
192,"Kristaps Porzingis, PF",New York Knicks,"$4,317,720 "
193,"Dragan Bender, PF",Phoenix Suns,"$4,276,320 "
194,"Vince Carter, SG",Memphis Grizzlies,"$4,264,057 "
195,"Devin Harris, PG",Dallas Mavericks,"$4,227,996 "
196,"J.J. Barea, PG",Dallas Mavericks,"$4,096,950 "
197,"Ben McLemore, SG",Sacramento Kings,"$4,008,882 "
198,"James Johnson, PF",Miami Heat,"$4,000,000 "
199,"Udonis Haslem, PF",Miami Heat,"$4,000,000 "
200,"Leandro Barbosa, SG",Phoenix Suns,"$4,000,000 "
201,"Jordan Hill, C",Minnesota Timberwolves,"$4,000,000 "
202,"Lance Stephenson, SG",Minnesota Timberwolves,"$4,000,000 "
203,"Dante Exum, PG",Utah Jazz,"$3,940,320 "
204,"Kyle O'Quinn, C",New York Knicks,"$3,918,750 "
205,"Mario Hezonja, SG",Orlando Magic,"$3,909,840 "
206,"Kris Dunn, PG",Minnesota Timberwolves,"$3,872,520 "
